price,bed,bath,acre_lot,house_size,zip_code
175000.0,5.0,2.0,0.21,1140.0,00802
115000.0,4.0,1.0,0.73,235.0,00802
925000.0,3.0,5.0,0.81,4500.0,00802
265000.0,2.0,2.0,0.73,1152.0,00802
115500.0,4.0,4.0,0.5,3060.0,00802
320000.0,2.0,2.0,0.73,1140.0,00802
320000.0,1.0,1.0,0.26,3060.0,00802
130000.0,4.0,4.0,0.5,3060.0,00802
950000.0,5.0,4.0,0.99,5000.0,00802
110000.0,4.0,4.0,0.66,3060.0,00802
875000.0,5.0,4.0,1.8,3300.0,00802
95000.0,4.0,4.0,0.26,3060.0,00802
160000.0,4.0,4.0,0.5,3060.0,00802
110600.0,4.0,4.0,0.48,3060.0,00802
485000.0,2.0,1.0,0.73,1326.0,00802
85000.0,4.0,4.0,0.28,3060.0,00802
1295000.0,3.0,3.0,0.34,3060.0,00802
1895000.0,6.0,5.0,0.7,6200.0,00802
250000.0,4.0,4.0,0.52,3060.0,00802
280000.0,2.0,1.0,0.73,900.0,00802
200000.0,4.0,4.0,1.42,3060.0,00802
400000.0,4.0,4.0,5.0,3060.0,00802
375000.0,4.0,4.0,1.66,3060.0,00802
619000.0,3.0,2.0,0.73,1487.0,00802
385000.0,4.0,4.0,3.14,3060.0,00802
340000.0,4.0,4.0,1.5,3060.0,00802
825000.0,4.0,4.0,3.0,3060.0,00802
560000.0,4.0,4.0,6.99,3060.0,00802
262000.0,4.0,4.0,0.53,3060.0,00802
750000.0,4.0,4.0,3.1,3060.0,00802
690000.0,4.0,4.0,4.28,3060.0,00802
750000.0,4.0,4.0,3.09,3060.0,00802
890000.0,4.0,4.0,6.17,3060.0,00802
825000.0,4.0,4.0,3.77,3060.0,00802
1050000.0,4.0,4.0,3.17,3060.0,00802
985000.0,4.0,4.0,3.72,3060.0,00802
1125000.0,4.0,4.0,2.97,3060.0,00802
2500000.0,4.0,4.0,3.0,3060.0,00802
10990000.0,4.0,4.0,96.6,3060.0,00802
200000.0,2.0,2.0,0.73,1250.0,00802
326900.0,2.0,2.0,0.5,3060.0,00802
499000.0,3.0,3.0,0.37,3060.0,00802
1999950.0,6.0,5.0,0.88,6290.0,00802
4850000.0,4.0,4.0,0.46,4830.0,00830
435000.0,1.0,2.0,0.73,960.0,00802
100000.0,4.0,4.0,0.73,3060.0,00802
395000.0,1.0,1.0,0.73,1050.0,00802
50000.0,4.0,4.0,0.13,3060.0,00802
1427000.0,4.0,4.0,0.64,3060.0,00802
139500.0,4.0,4.0,0.7,3060.0,00802
549000.0,3.0,3.0,0.73,1750.0,00802
2497000.0,6.0,5.0,1.45,3060.0,00802
1875000.0,2.0,2.0,0.53,1423.0,00830
315000.0,1.0,1.0,0.73,750.0,00802
545000.0,2.0,2.0,0.73,1250.0,00802
570000.0,2.0,2.0,0.73,1379.0,00802
1150000.0,4.0,3.0,0.6,2413.0,00802
1850000.0,3.0,4.0,0.7,3500.0,00802
3690000.0,4.0,5.0,0.46,7100.0,00830
300000.0,4.0,4.0,0.14,3060.0,00802
115000.0,4.0,4.0,0.34,3060.0,00802
875000.0,4.0,5.0,0.96,2000.0,00802
74500.0,4.0,4.0,0.86,3060.0,00802
97500.0,4.0,4.0,0.51,3060.0,00802
125000.0,4.0,4.0,0.5,3060.0,00802
